OrderID,OrderDate,CustomerID,CustomerName,Region,Segment,Category,Product,Quantity,UnitPrice,UnitCost,Channel,SalesRepID,SalesRep,Revenue,COGS,GrossProfit,Discount
ORD-10019,2022-09-08,C0197,Customer 197,West,Corporate,Clothing,Tie Collection,15,38.0,15,Retail,SR04,Sneha Joshi,570.0,225,345.0,0.05
ORD-10020,2024-01-06,C0103,Customer 103,Central,Corporate,Clothing,Formal Trousers,5,76.5,42,Online,SR05,Vikram Nair,382.5,210,172.5,0.15
ORD-10021,2024-02-08,C0057,Customer 57,Central,Corporate,Electronics,Smartwatch X,17,237.5,130,Online,SR05,Vikram Nair,4037.5,2210,1827.5,0.05
ORD-10022,2023-07-25,C0117,Customer 117,Central,Consumer,Furniture,Executive Desk,15,510.0,310,Wholesale,SR05,Vikram Nair,7650.0,4650,3000.0,0.15
ORD-10023,2024-02-13,C0185,Customer 185,Central,SMB,Clothing,Tie Collection,18,38.0,15,Retail,SR05,Vikram Nair,684.0,270,414.0,0.05
ORD-10024,2024-02-01,C0067,Customer 67,West,SMB,Clothing,Formal Trousers,9,81.0,42,Direct,SR04,Sneha Joshi,729.0,378,351.0,0.1
ORD-10025,2023-10-04,C0113,Customer 113,East,Consumer,Furniture,Bookshelf L,10,200,95,Wholesale,SR03,Rohit Mehta,2000,950,1050,0
ORD-10026,2022-12-10,C0021,Customer 21,East,Corporate,Office Supplies,File Cabinet,5,120,60,Direct,SR03,Rohit Mehta,600,300,300,0
ORD-10027,2023-12-12,C0017,Customer 17,East,Consumer,Furniture,Ergonomic Chair,14,450,240,Direct,SR08,Kavya Reddy,6300,3360,2940,0
ORD-10028,2023-03-02,C0108,Customer 108,South,SMB,Electronics,UltraBook 13,19,807.5,570,Online,SR07,Amit Desai,15342.5,10830,4512.5,0.15
ORD-10029,2024-05-27,C0123,Customer 123,West,Corporate,Software,Security Suite,12,900,100,Direct,SR04,Sneha Joshi,10800,1200,9600,0
ORD-10030,2024-05-23,C0192,Customer 192,Central,Consumer,Clothing,Tie Collection,16,40,15,Wholesale,SR05,Vikram Nair,640,240,400,0
ORD-10031,2023-03-23,C0100,Customer 100,South,SMB,Clothing,Business Suit,13,272.0,170,Retail,SR07,Amit Desai,3536.0,2210,1326.0,0.15
ORD-10032,2024-05-10,C0160,Customer 160,North,SMB,Clothing,Formal Shirt,13,58.5,28,Online,SR01,Arjun Sharma,760.5,364,396.5,0.1
ORD-10033,2022-03-27,C0119,Customer 119,West,Consumer,Clothing,Formal Shirt,2,65,28,Direct,SR04,Sneha Joshi,130,56,74,0
ORD-10034,2022-12-02,C0084,Customer 84,Central,SMB,Furniture,Standing Desk,13,750,400,Direct,SR05,Vikram Nair,9750,5200,4550,0
ORD-10035,2022-09-16,C0005,Customer 5,Central,Consumer,Electronics,Smartwatch X,12,250,130,Online,SR05,Vikram Nair,3000,1560,1440,0
ORD-10036,2024-03-10,C0064,Customer 64,South,SMB,Electronics,Laptop Pro 15,1,1080.0,720,Retail,SR02,Priya Patel,1080.0,720,360.0,0.1
ORD-10037,2022-09-02,C0172,Customer 172,East,Corporate,Furniture,Standing Desk,19,750,400,Direct,SR03,Rohit Mehta,14250,7600,6650,0
ORD-10038,2023-12-18,C0043,Customer 43,East,SMB,Office Supplies,Stapler Pro,6,25,10,Online,SR03,Rohit Mehta,150,60,90,0
ORD-10039,2023-08-16,C0148,Customer 148,Central,SMB,Electronics,Wireless Headphones,13,153.0,90,Retail,SR05,Vikram Nair,1989.0,1170,819.0,0.15
ORD-10040,2022-03-19,C0027,Customer 27,East,SMB,Software,Analytics Tool,20,1200,150,Online,SR08,Kavya Reddy,24000,3000,21000,0
ORD-10041,2022-12-22,C0170,Customer 170,East,Consumer,Software,Security Suite,3,810.0,100,Wholesale,SR08,Kavya Reddy,2430.0,300,2130.0,0.1
ORD-10042,2022-01-13,C0028,Customer 28,Central,Corporate,Clothing,Formal Trousers,12,76.5,42,Direct,SR05,Vikram Nair,918.0,504,414.0,0.15
ORD-10043,2023-12-26,C0046,Customer 46,South,Consumer,Furniture,Standing Desk,20,675.0,400,Direct,SR07,Amit Desai,13500.0,8000,5500.0,0.1
ORD-10044,2023-04-22,C0069,Customer 69,East,SMB,Clothing,Tie Collection,8,40,15,Wholesale,SR08,Kavya Reddy,320,120,200,0
ORD-10045,2024-06-21,C0193,Customer 193,East,Corporate,Clothing,Formal Shirt,19,58.5,28,Direct,SR08,Kavya Reddy,1111.5,532,579.5,0.1
ORD-10046,2022-12-11,C0084,Customer 84,Central,SMB,Electronics,Smartwatch X,16,250,130,Wholesale,SR05,Vikram Nair,4000,2080,1920,0
ORD-10047,2024-03-27,C0072,Customer 72,Central,Corporate,Office Supplies,Stapler Pro,18,25,10,Retail,SR05,Vikram Nair,450,180,270,0
ORD-10048,2022-03-29,C0126,Customer 126,North,SMB,Furniture,Standing Desk,16,637.5,400,Direct,SR01,Arjun Sharma,10200.0,6400,3800.0,0.15
ORD-10049,2023-04-04,C0076,Customer 76,North,SMB,Electronics,Laptop Pro 15,13,1020.0,720,Retail,SR01,Arjun Sharma,13260.0,9360,3900.0,0.15
ORD-10050,2022-11-10,C0122,Customer 122,North,SMB,Software,Project Manager,14,510.0,80,Wholesale,SR06,Neha Gupta,7140.0,1120,6020.0,0.15
ORD-10051,2022-12-27,C0079,Customer 79,North,SMB,Clothing,Leather Belt,8,45,18,Retail,SR06,Neha Gupta,360,144,216,0
ORD-10052,2022-11-20,C0196,Customer 196,East,SMB,Electronics,Tablet 10,7,400,220,Direct,SR03,Rohit Mehta,2800,1540,1260,0
ORD-10053,2022-10-11,C0153,Customer 153,Central,Consumer,Software,ERP Module,4,2400,300,Wholesale,SR05,Vikram Nair,9600,1200,8400,0
ORD-10054,2022-08-21,C0078,Customer 78,South,SMB,Office Supplies,Ballpoint Pens Pack,18,18,6,Wholesale,SR02,Priya Patel,324,108,216,0
ORD-10055,2022-02-16,C0075,Customer 75,South,Corporate,Electronics,Tablet 10,16,400,220,Online,SR02,Priya Patel,6400,3520,2880,0
ORD-10056,2023-08-11,C0123,Customer 123,West,Corporate,Office Supplies,Sticky Notes Bulk,11,15,5,Online,SR04,Sneha Joshi,165,55,110,0
ORD-10057,2022-09-16,C0017,Customer 17,East,Consumer,Clothing,Business Suit,16,320,170,Online,SR08,Kavya Reddy,5120,2720,2400,0
ORD-10058,2022-06-05,C0078,Customer 78,South,SMB,Furniture,Meeting Table,8,900,500,Direct,SR02,Priya Patel,7200,4000,3200,0
ORD-10059,2023-09-13,C0058,Customer 58,Central,Corporate,Software,ERP Module,15,2280.0,300,Wholesale,SR05,Vikram Nair,34200.0,4500,29700.0,0.05
ORD-10060,2024-05-30,C0079,Customer 79,North,SMB,Software,Security Suite,20,765.0,100,Online,SR01,Arjun Sharma,15300.0,2000,13300.0,0.15
ORD-10061,2024-02-21,C0068,Customer 68,West,SMB,Furniture,Ergonomic Chair,6,450,240,Retail,SR04,Sneha Joshi,2700,1440,1260,0
ORD-10062,2023-07-20,C0001,Customer 1,North,Consumer,Electronics,UltraBook 13,15,807.5,570,Direct,SR06,Neha Gupta,12112.5,8550,3562.5,0.15
ORD-10063,2022-10-26,C0074,Customer 74,East,Corporate,Electronics,UltraBook 13,15,950,570,Retail,SR08,Kavya Reddy,14250,8550,5700,0
ORD-10064,2022-09-28,C0109,Customer 109,South,Consumer,Software,Analytics Tool,18,1200,150,Retail,SR02,Priya Patel,21600,2700,18900,0
ORD-10065,2022-09-30,C0016,Customer 16,West,Corporate,Furniture,Executive Desk,10,540.0,310,Wholesale,SR04,Sneha Joshi,5400.0,3100,2300.0,0.1
ORD-10066,2023-03-26,C0177,Customer 177,Central,SMB,Electronics,Smartwatch X,13,250,130,Direct,SR05,Vikram Nair,3250,1690,1560,0
ORD-10067,2023-03-25,C0011,Customer 11,Central,Consumer,Electronics,Tablet 10,11,360.0,220,Wholesale,SR05,Vikram Nair,3960.0,2420,1540.0,0.1
ORD-10068,2022-01-27,C0173,Customer 173,South,SMB,Electronics,UltraBook 13,9,855.0,570,Online,SR02,Priya Patel,7695.0,5130,2565.0,0.1
ORD-10069,2024-02-21,C0133,Customer 133,West,Consumer,Furniture,Standing Desk,9,750,400,Direct,SR04,Sneha Joshi,6750,3600,3150,0
ORD-10070,2023-10-13,C0121,Customer 121,South,Consumer,Clothing,Business Suit,14,320,170,Wholesale,SR07,Amit Desai,4480,2380,2100,0
ORD-10071,2023-11-18,C0085,Customer 85,North,SMB,Electronics,UltraBook 13,16,950,570,Direct,SR06,Neha Gupta,15200,9120,6080,0
ORD-10072,2024-04-13,C0117,Customer 117,Central,Consumer,Software,CRM Suite Annual,11,1800,200,Wholesale,SR05,Vikram Nair,19800,2200,17600,0
ORD-10073,2022-04-29,C0001,Customer 1,North,Consumer,Clothing,Tie Collection,14,40,15,Retail,SR06,Neha Gupta,560,210,350,0
ORD-10074,2023-06-15,C0194,Customer 194,Central,Consumer,Office Supplies,File Cabinet,15,120,60,Retail,SR05,Vikram Nair,1800,900,900,0
ORD-10075,2022-10-01,C0074,Customer 74,East,Corporate,Software,Analytics Tool,16,1200,150,Online,SR08,Kavya Reddy,19200,2400,16800,0
ORD-10076,2023-10-08,C0182,Customer 182,North,Consumer,Software,Analytics Tool,10,1080.0,150,Online,SR01,Arjun Sharma,10800.0,1500,9300.0,0.1
ORD-10077,2023-07-20,C0058,Customer 58,Central,Corporate,Clothing,Business Suit,15,320,170,Retail,SR05,Vikram Nair,4800,2550,2250,0
ORD-10078,2023-05-26,C0181,Customer 181,South,Corporate,Office Supplies,File Cabinet,14,114.0,60,Direct,SR07,Amit Desai,1596.0,840,756.0,0.05
ORD-10079,2022-09-07,C0038,Customer 38,East,SMB,Clothing,Tie Collection,7,36.0,15,Retail,SR08,Kavya Reddy,252.0,105,147.0,0.1
ORD-10080,2024-06-03,C0198,Customer 198,North,Consumer,Electronics,Wireless Headphones,11,162.0,90,Wholesale,SR06,Neha Gupta,1782.0,990,792.0,0.1
ORD-10081,2024-04-20,C0186,Customer 186,East,SMB,Electronics,Wireless Headphones,19,162.0,90,Direct,SR08,Kavya Reddy,3078.0,1710,1368.0,0.1
ORD-10082,2024-06-05,C0138,Customer 138,Central,Consumer,Furniture,Standing Desk,12,750,400,Direct,SR05,Vikram Nair,9000,4800,4200,0
ORD-10083,2023-04-12,C0179,Customer 179,Central,Consumer,Office Supplies,Ballpoint Pens Pack,19,17.1,6,Retail,SR05,Vikram Nair,324.9,114,210.9,0.05
ORD-10084,2024-05-26,C0082,Customer 82,South,Consumer,Clothing,Business Suit,13,304.0,170,Retail,SR07,Amit Desai,3952.0,2210,1742.0,0.05
ORD-10085,2023-05-23,C0129,Customer 129,East,Consumer,Electronics,UltraBook 13,4,902.5,570,Online,SR08,Kavya Reddy,3610.0,2280,1330.0,0.05
ORD-10086,2023-06-23,C0185,Customer 185,Central,SMB,Clothing,Business Suit,14,272.0,170,Retail,SR05,Vikram Nair,3808.0,2380,1428.0,0.15
ORD-10087,2022-03-18,C0087,Customer 87,North,Consumer,Clothing,Leather Belt,3,45,18,Direct,SR06,Neha Gupta,135,54,81,0
ORD-10088,2022-11-21,C0010,Customer 10,Central,Consumer,Clothing,Tie Collection,8,34.0,15,Wholesale,SR05,Vikram Nair,272.0,120,152.0,0.15
ORD-10089,2022-08-21,C0026,Customer 26,North,SMB,Electronics,Smartwatch X,15,250,130,Wholesale,SR01,Arjun Sharma,3750,1950,1800,0
ORD-10090,2022-01-30,C0015,Customer 15,North,Consumer,Electronics,Wireless Headphones,12,180,90,Direct,SR06,Neha Gupta,2160,1080,1080,0
ORD-10091,2022-05-30,C0106,Customer 106,East,Consumer,Furniture,Meeting Table,6,900,500,Online,SR03,Rohit Mehta,5400,3000,2400,0
ORD-10092,2023-09-17,C0175,Customer 175,East,Consumer,Clothing,Tie Collection,16,36.0,15,Retail,SR03,Rohit Mehta,576.0,240,336.0,0.1
ORD-10093,2022-08-26,C0118,Customer 118,Central,SMB,Clothing,Leather Belt,1,42.75,18,Wholesale,SR05,Vikram Nair,42.75,18,24.75,0.05
ORD-10094,2023-11-25,C0019,Customer 19,North,Consumer,Software,Analytics Tool,12,1080.0,150,Wholesale,SR06,Neha Gupta,12960.0,1800,11160.0,0.1
ORD-10095,2023-10-17,C0117,Customer 117,Central,Consumer,Clothing,Leather Belt,7,42.75,18,Direct,SR05,Vikram Nair,299.25,126,173.25,0.05
ORD-10096,2022-04-20,C0147,Customer 147,West,SMB,Furniture,Standing Desk,19,750,400,Wholesale,SR04,Sneha Joshi,14250,7600,6650,0
ORD-10097,2022-01-23,C0003,Customer 3,South,Consumer,Clothing,Leather Belt,20,38.25,18,Direct,SR02,Priya Patel,765.0,360,405.0,0.15
ORD-10098,2024-05-02,C0156,Customer 156,West,SMB,Office Supplies,Ballpoint Pens Pack,8,15.3,6,Retail,SR04,Sneha Joshi,122.4,48,74.4,0.15
ORD-10099,2023-09-28,C0161,Customer 161,North,SMB,Office Supplies,Ballpoint Pens Pack,2,18,6,Direct,SR01,Arjun Sharma,36,12,24,0
ORD-10100,2022-02-04,C0188,Customer 188,Central,Corporate,Software,Project Manager,3,600,80,Wholesale,SR05,Vikram Nair,1800,240,1560,0
ORD-10101,2024-02-05,C0052,Customer 52,West,Consumer,Clothing,Formal Shirt,18,65,28,Wholesale,SR04,Sneha Joshi,1170,504,666,0
ORD-10102,2024-04-30,C0124,Customer 124,West,Corporate,Furniture,Bookshelf L,11,200,95,Direct,SR04,Sneha Joshi,2200,1045,1155,0
ORD-10103,2022-03-19,C0174,Customer 174,East,Corporate,Furniture,Ergonomic Chair,18,450,240,Online,SR08,Kavya Reddy,8100,4320,3780,0
ORD-10104,2024-03-20,C0068,Customer 68,West,SMB,Clothing,Business Suit,15,320,170,Wholesale,SR04,Sneha Joshi,4800,2550,2250,0
ORD-10105,2023-08-22,C0028,Customer 28,Central,Corporate,Clothing,Leather Belt,16,45,18,Wholesale,SR05,Vikram Nair,720,288,432,0
ORD-10106,2023-09-17,C0163,Customer 163,North,SMB,Furniture,Executive Desk,10,510.0,310,Direct,SR06,Neha Gupta,5100.0,3100,2000.0,0.15
ORD-10107,2022-04-30,C0010,Customer 10,Central,Consumer,Furniture,Executive Desk,16,600,310,Online,SR05,Vikram Nair,9600,4960,4640,0
ORD-10108,2022-08-29,C0100,Customer 100,South,SMB,Software,Analytics Tool,12,1020.0,150,Direct,SR07,Amit Desai,12240.0,1800,10440.0,0.15
ORD-10109,2023-08-25,C0168,Customer 168,Central,SMB,Furniture,Standing Desk,16,675.0,400,Direct,SR05,Vikram Nair,10800.0,6400,4400.0,0.1
ORD-10110,2022-10-14,C0056,Customer 56,East,SMB,Electronics,Wireless Headphones,15,180,90,Wholesale,SR08,Kavya Reddy,2700,1350,1350,0
ORD-10111,2022-04-12,C0166,Customer 166,Central,Consumer,Office Supplies,File Cabinet,2,114.0,60,Wholesale,SR05,Vikram Nair,228.0,120,108.0,0.05
ORD-10112,2022-07-14,C0024,Customer 24,West,SMB,Electronics,Smartwatch X,20,250,130,Online,SR04,Sneha Joshi,5000,2600,2400,0
ORD-10113,2024-03-16,C0033,Customer 33,North,Corporate,Office Supplies,Ballpoint Pens Pack,3,16.2,6,Retail,SR01,Arjun Sharma,48.6,18,30.6,0.1
ORD-10114,2023-08-24,C0085,Customer 85,North,SMB,Furniture,Ergonomic Chair,20,450,240,Wholesale,SR01,Arjun Sharma,9000,4800,4200,0
ORD-10115,2024-05-29,C0139,Customer 139,North,Consumer,Furniture,Ergonomic Chair,6,450,240,Online,SR06,Neha Gupta,2700,1440,1260,0
ORD-10116,2022-05-15,C0061,Customer 61,West,Consumer,Electronics,Wireless Headphones,1,180,90,Wholesale,SR04,Sneha Joshi,180,90,90,0
ORD-10117,2022-02-23,C0135,Customer 135,South,Consumer,Furniture,Standing Desk,3,712.5,400,Direct,SR02,Priya Patel,2137.5,1200,937.5,0.05
ORD-10118,2024-03-07,C0152,Customer 152,Central,SMB,Office Supplies,File Cabinet,15,108.0,60,Retail,SR05,Vikram Nair,1620.0,900,720.0,0.1
ORD-10119,2023-09-22,C0078,Customer 78,South,SMB,Electronics,Tablet 10,1,400,220,Direct,SR07,Amit Desai,400,220,180,0
ORD-10120,2024-05-17,C0176,Customer 176,North,Corporate,Clothing,Formal Trousers,16,76.5,42,Direct,SR01,Arjun Sharma,1224.0,672,552.0,0.15
ORD-10121,2022-03-17,C0156,Customer 156,West,SMB,Electronics,Wireless Headphones,3,180,90,Wholesale,SR04,Sneha Joshi,540,270,270,0
ORD-10122,2023-10-02,C0183,Customer 183,East,Corporate,Software,ERP Module,13,2160.0,300,Wholesale,SR08,Kavya Reddy,28080.0,3900,24180.0,0.1
ORD-10123,2023-04-10,C0111,Customer 111,North,Consumer,Software,ERP Module,4,2040.0,300,Retail,SR01,Arjun Sharma,8160.0,1200,6960.0,0.15
ORD-10124,2023-03-17,C0106,Customer 106,East,Consumer,Clothing,Formal Shirt,15,61.75,28,Direct,SR08,Kavya Reddy,926.25,420,506.25,0.05
ORD-10125,2024-01-18,C0110,Customer 110,North,SMB,Electronics,Wireless Headphones,9,180,90,Retail,SR06,Neha Gupta,1620,810,810,0
ORD-10126,2023-12-05,C0024,Customer 24,West,SMB,Clothing,Business Suit,3,304.0,170,Online,SR04,Sneha Joshi,912.0,510,402.0,0.05
ORD-10127,2024-02-02,C0143,Customer 143,North,Consumer,Office Supplies,Ballpoint Pens Pack,19,16.2,6,Wholesale,SR01,Arjun Sharma,307.8,114,193.8,0.1
ORD-10128,2023-11-18,C0091,Customer 91,North,Consumer,Electronics,Smartwatch X,2,250,130,Wholesale,SR06,Neha Gupta,500,260,240,0
ORD-10129,2022-12-27,C0130,Customer 130,South,Consumer,Electronics,Tablet 10,5,340.0,220,Direct,SR02,Priya Patel,1700.0,1100,600.0,0.15
ORD-10130,2022-08-18,C0143,Customer 143,North,Consumer,Electronics,Wireless Headphones,4,180,90,Retail,SR06,Neha Gupta,720,360,360,0
ORD-10131,2024-04-06,C0197,Customer 197,West,Corporate,Clothing,Tie Collection,20,34.0,15,Wholesale,SR04,Sneha Joshi,680.0,300,380.0,0.15
ORD-10132,2022-01-30,C0180,Customer 180,Central,Corporate,Furniture,Bookshelf L,11,200,95,Online,SR05,Vikram Nair,2200,1045,1155,0
ORD-10133,2022-07-05,C0169,Customer 169,Central,Corporate,Furniture,Meeting Table,3,900,500,Online,SR05,Vikram Nair,2700,1500,1200,0
ORD-10134,2022-04-04,C0097,Customer 97,Central,SMB,Software,Analytics Tool,15,1200,150,Retail,SR05,Vikram Nair,18000,2250,15750,0
ORD-10135,2023-01-14,C0199,Customer 199,West,Corporate,Office Supplies,Stapler Pro,2,25,10,Retail,SR04,Sneha Joshi,50,20,30,0
ORD-10136,2024-02-12,C0173,Customer 173,South,SMB,Software,CRM Suite Annual,9,1710.0,200,Direct,SR02,Priya Patel,15390.0,1800,13590.0,0.05
ORD-10137,2023-05-13,C0107,Customer 107,Central,SMB,Software,Security Suite,7,810.0,100,Online,SR05,Vikram Nair,5670.0,700,4970.0,0.1
ORD-10138,2022-12-20,C0073,Customer 73,East,Consumer,Clothing,Business Suit,17,272.0,170,Wholesale,SR08,Kavya Reddy,4624.0,2890,1734.0,0.15
ORD-10139,2022-02-16,C0154,Customer 154,East,Consumer,Furniture,Standing Desk,1,750,400,Wholesale,SR03,Rohit Mehta,750,400,350,0
ORD-10140,2022-08-05,C0075,Customer 75,South,Corporate,Furniture,Bookshelf L,4,200,95,Direct,SR07,Amit Desai,800,380,420,0
ORD-10141,2024-02-04,C0034,Customer 34,East,Corporate,Clothing,Formal Shirt,18,55.25,28,Retail,SR08,Kavya Reddy,994.5,504,490.5,0.15
ORD-10142,2023-05-28,C0019,Customer 19,North,Consumer,Software,Project Manager,2,570.0,80,Online,SR06,Neha Gupta,1140.0,160,980.0,0.05
ORD-10143,2023-04-16,C0148,Customer 148,Central,SMB,Electronics,Wireless Headphones,19,171.0,90,Direct,SR05,Vikram Nair,3249.0,1710,1539.0,0.05
ORD-10144,2022-10-24,C0006,Customer 6,Central,Corporate,Electronics,Smartwatch X,6,225.0,130,Direct,SR05,Vikram Nair,1350.0,780,570.0,0.1
ORD-10145,2024-05-01,C0112,Customer 112,North,Consumer,Office Supplies,Printer Paper A4,8,33.25,12,Direct,SR01,Arjun Sharma,266.0,96,170.0,0.05
ORD-10146,2023-06-21,C0080,Customer 80,East,SMB,Electronics,Smartwatch X,8,250,130,Retail,SR08,Kavya Reddy,2000,1040,960,0
ORD-10147,2022-03-20,C0136,Customer 136,West,SMB,Software,CRM Suite Annual,12,1800,200,Retail,SR04,Sneha Joshi,21600,2400,19200,0
ORD-10148,2022-08-30,C0066,Customer 66,North,Corporate,Electronics,UltraBook 13,6,855.0,570,Retail,SR01,Arjun Sharma,5130.0,3420,1710.0,0.1
ORD-10149,2024-02-18,C0198,Customer 198,North,Consumer,Electronics,UltraBook 13,15,855.0,570,Direct,SR06,Neha Gupta,12825.0,8550,4275.0,0.1
ORD-10150,2023-11-29,C0083,Customer 83,East,Consumer,Software,ERP Module,5,2280.0,300,Online,SR08,Kavya Reddy,11400.0,1500,9900.0,0.05
ORD-10151,2023-04-26,C0071,Customer 71,North,SMB,Clothing,Leather Belt,12,40.5,18,Online,SR01,Arjun Sharma,486.0,216,270.0,0.1
ORD-10152,2022-11-14,C0010,Customer 10,Central,Consumer,Clothing,Formal Trousers,12,90,42,Online,SR05,Vikram Nair,1080,504,576,0
ORD-10153,2023-10-23,C0153,Customer 153,Central,Consumer,Electronics,Tablet 10,15,360.0,220,Online,SR05,Vikram Nair,5400.0,3300,2100.0,0.1
ORD-10154,2023-04-06,C0083,Customer 83,East,Consumer,Software,Analytics Tool,17,1200,150,Online,SR08,Kavya Reddy,20400,2550,17850,0
ORD-10155,2023-04-07,C0183,Customer 183,East,Corporate,Electronics,Wireless Headphones,17,153.0,90,Retail,SR03,Rohit Mehta,2601.0,1530,1071.0,0.15
ORD-10156,2022-02-10,C0113,Customer 113,East,Consumer,Furniture,Standing Desk,12,750,400,Wholesale,SR03,Rohit Mehta,9000,4800,4200,0
ORD-10157,2023-02-01,C0174,Customer 174,East,Corporate,Clothing,Leather Belt,11,45,18,Wholesale,SR03,Rohit Mehta,495,198,297,0
ORD-10158,2022-04-07,C0073,Customer 73,East,Consumer,Software,Security Suite,20,900,100,Wholesale,SR08,Kavya Reddy,18000,2000,16000,0
ORD-10159,2022-03-25,C0090,Customer 90,South,SMB,Software,Analytics Tool,13,1200,150,Online,SR07,Amit Desai,15600,1950,13650,0
ORD-10160,2022-11-14,C0165,Customer 165,Central,Consumer,Software,Security Suite,5,765.0,100,Online,SR05,Vikram Nair,3825.0,500,3325.0,0.15
ORD-10161,2023-10-24,C0093,Customer 93,Central,Consumer,Clothing,Tie Collection,12,40,15,Retail,SR05,Vikram Nair,480,180,300,0
ORD-10162,2022-08-08,C0050,Customer 50,East,Consumer,Office Supplies,Sticky Notes Bulk,5,15,5,Online,SR03,Rohit Mehta,75,25,50,0
ORD-10163,2022-10-30,C0198,Customer 198,North,Consumer,Electronics,Tablet 10,11,360.0,220,Retail,SR01,Arjun Sharma,3960.0,2420,1540.0,0.1
ORD-10164,2023-09-04,C0042,Customer 42,West,Corporate,Clothing,Formal Shirt,20,65,28,Direct,SR04,Sneha Joshi,1300,560,740,0
ORD-10165,2022-02-14,C0174,Customer 174,East,Corporate,Clothing,Leather Belt,15,40.5,18,Wholesale,SR03,Rohit Mehta,607.5,270,337.5,0.1
ORD-10166,2024-02-10,C0137,Customer 137,North,Consumer,Clothing,Formal Shirt,10,61.75,28,Retail,SR01,Arjun Sharma,617.5,280,337.5,0.05
ORD-10167,2023-01-12,C0119,Customer 119,West,Consumer,Software,Security Suite,13,810.0,100,Direct,SR04,Sneha Joshi,10530.0,1300,9230.0,0.1
ORD-10168,2022-06-15,C0036,Customer 36,East,Corporate,Furniture,Meeting Table,2,765.0,500,Direct,SR08,Kavya Reddy,1530.0,1000,530.0,0.15
ORD-10169,2024-06-14,C0027,Customer 27,East,SMB,Office Supplies,File Cabinet,10,120,60,Retail,SR03,Rohit Mehta,1200,600,600,0
ORD-10170,2022-10-07,C0038,Customer 38,East,SMB,Clothing,Tie Collection,3,40,15,Direct,SR08,Kavya Reddy,120,45,75,0
ORD-10171,2024-06-24,C0107,Customer 107,Central,SMB,Office Supplies,Printer Paper A4,13,31.5,12,Wholesale,SR05,Vikram Nair,409.5,156,253.5,0.1
ORD-10172,2022-08-30,C0096,Customer 96,South,Corporate,Clothing,Business Suit,1,320,170,Online,SR02,Priya Patel,320,170,150,0
